Date,Date_YMD,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
23-Jun-20,6/23/2020,15656,456120,10462,258600,468,14484
24-Jun-20,6/24/2020,16868,472988,13089,271689,424,14908
25-Jun-20,6/25/2020,18205,491193,13983,285672,401,15309
26-Jun-20,6/26/2020,18255,509448,10246,295918,381,15690
27-Jun-20,6/27/2020,20142,529590,14229,310147,414,16104
28-Jun-20,6/28/2020,19610,549200,11631,321778,384,16488
29-Jun-20,6/29/2020,18339,567539,13497,335275,417,16905
30-Jun-20,6/30/2020,18256,585795,12565,347840,506,17411
1-Jul-20,7/1/2020,19429,605224,12064,359904,438,17849
2-Jul-20,7/2/2020,21947,627171,19999,379903,378,18227
3-Jul-20,7/3/2020,22718,649889,14417,394320,444,18671
4-Jul-20,7/4/2020,24018,673907,14746,409066,611,19282
5-Jul-20,7/5/2020,23942,697849,15829,424895,421,19703
6-Jul-20,7/6/2020,22500,720349,15315,440210,473,20176
7-Jul-20,7/7/2020,23147,743496,16836,457046,479,20655
8-Jul-20,7/8/2020,25561,769057,19508,476554,492,21147
9-Jul-20,7/9/2020,25790,794847,19408,495962,479,21626
10-Jul-20,7/10/2020,27762,822609,20289,516251,520,22146
11-Jul-20,7/11/2020,27757,850366,19981,536232,543,22689
12-Jul-20,7/12/2020,29106,879472,18198,554430,500,23189
13-Jul-20,7/13/2020,28178,907650,17683,572113,541,23730
14-Jul-20,7/14/2020,29917,937567,20977,593090,587,24317
15-Jul-20,7/15/2020,32607,970174,20646,613736,614,24931
16-Jul-20,7/16/2020,35468,1005642,22867,636603,680,25611
17-Jul-20,7/17/2020,34820,1040462,17476,654079,676,26287
18-Jul-20,7/18/2020,37411,1077873,23583,677662,543,26830
19-Jul-20,7/19/2020,40235,1118108,22730,700392,675,27505
20-Jul-20,7/20/2020,36806,1154914,24303,724695,596,28101
21-Jul-20,7/21/2020,39170,1194084,27589,752284,671,28772
22-Jul-20,7/22/2020,45601,1239685,31875,784159,1130,29902
23-Jul-20,7/23/2020,48443,1288128,33326,817485,755,30657
24-Jul-20,7/24/2020,48888,1337016,32514,849999,763,31420
25-Jul-20,7/25/2020,50072,1387088,37125,887124,703,32123
26-Jul-20,7/26/2020,48932,1436020,31512,918636,704,32827
27-Jul-20,7/27/2020,46484,1482504,34354,952990,642,33469
28-Jul-20,7/28/2020,49631,1532135,35683,988673,774,34243
29-Jul-20,7/29/2020,52479,1584614,32886,1021559,775,35018
30-Jul-20,7/30/2020,54968,1639582,37425,1058984,784,35802
31-Jul-20,7/31/2020,57486,1697068,36554,1095538,764,36566
1-Aug-20,8/1/2020,55117,1752185,51368,1146906,854,37420
2-Aug-20,8/2/2020,52672,1804857,40355,1187261,760,38180
3-Aug-20,8/3/2020,50488,1855345,43070,1230331,806,38986
4-Aug-20,8/4/2020,51282,1906627,51220,1281551,849,39835
5-Aug-20,8/5/2020,56626,1963253,45583,1327134,919,40754
6-Aug-20,8/6/2020,62170,2025423,50141,1377275,899,41653
7-Aug-20,8/7/2020,61455,2086878,50387,1427662,936,42589
8-Aug-20,8/8/2020,65156,2152034,52135,1479797,875,43464
9-Aug-20,8/9/2020,62117,2214151,54474,1534271,1013,44477
10-Aug-20,8/10/2020,53016,2267167,47362,1581633,887,45364
11-Aug-20,8/11/2020,61252,2328419,56461,1638094,835,46199
12-Aug-20,8/12/2020,67066,2395485,57759,1695853,950,47149
13-Aug-20,8/13/2020,64141,2459626,54776,1750629,1006,48155
14-Aug-20,8/14/2020,65610,2525236,56920,1807549,989,49144
15-Aug-20,8/15/2020,63986,2589222,53116,1860665,952,50096
16-Aug-20,8/16/2020,58096,2647318,57404,1918069,952,51048
17-Aug-20,8/17/2020,54298,2701616,58172,1976241,880,51928
18-Aug-20,8/18/2020,65024,2766640,60455,2036696,1099,53027
19-Aug-20,8/19/2020,69196,2835836,59365,2096061,979,54006
20-Aug-20,8/20/2020,68518,2904354,61873,2157934,981,54987
21-Aug-20,8/21/2020,69029,2973383,62858,2220792,953,55940
